Pytanie;Opcja0;Opcja1;Opcja2;Opcja3;indeks_poprawnej
Czym jest pakiet (package)?;Pakiet to mechanizm organizacji klas. Pozwala unikać konfliktów nazw i organizować kod w hierarchię. Pakiety odpowiadają katalogom w systemie plików;Pakiet to specjalny zbiór wszystkich skompilowanych plików .class przechowywanych w archiwum JAR gotowym do dystrybucji i deployment;Pakiet to grupa ściśle powiązanych interfejsów funkcyjnych które muszą być implementowane razem jako spójny moduł funkcjonalny;Pakiet to specjalny rodzaj klasy abstrakcyjnej wprowadzony w Java 9 jako część nowego systemu modułów JPMS;0
Jakie znaki dopuszczalne są w nazwie pakietu?;Dowolne znaki Unicode włączając spacje i znaki specjalne, ale muszą być ujęte w cudzysłowach zgodnie z Java Language Specification;Wielkie litery, cyfry, podkreślniki oraz znaki specjalne jak @ i # które są używane dla oznaczenia pakietów systemowych;Małe litery, cyfry (nie na początku). Konwencja: odwrócone domeny (com.example.package). Niedozwolone znaki specjalne jak - czy +;Wyłącznie litery alfabetu angielskiego bez cyfr, znak kropki . jest całkowicie niedozwolony zgodnie z JLS Section 6.5.3;2
Czy można używać pakietu bez nazwy?;Nie, każda klasa bezwzględnie musi należeć do nazwanego pakietu, jest to ścisły wymóg wprowadzony w Java 5;Tak, istnieje default package ale nie jest zalecane dla dużych projektów;Tylko w projektach budowanych za pomocą Maven, w innych build toolach pakiet jest zawsze wymagany przez konfigurację;Default package był dostępny tylko w starych wersjach Java 1.0 do 1.4, później został całkowicie usunięty;1
Czym jest klasa?;Klasa to implementacja singleton design pattern która automatycznie zapewnia istnienie tylko jednej instancji obiektu w całej aplikacji;Klasa to plik źródłowy .java który zawiera wyłącznie metody statyczne służące jako moduł funkcjonalny w architekturze aplikacji;Klasa to specjalny typ interfejsu z Java 8 który posiada domyślne implementacje wszystkich zadeklarowanych metod public;Klasa to szablon dla obiektów. Definiuje właściwości (pola) i zachowanie (metody) obiektów;3
Czym jest konstruktor?;Konstruktor to specjalna metoda fabrykująca zwracająca nową instancję klasy, zawsze musi być nazwana create() zgodnie z Java conventions;Konstruktor to specjalna metoda wywoływana przy tworzeniu obiektu. Inicjalizuje pola. Może być przeciążony;Konstruktor to statyczna metoda fabryki obiektów wprowadzona jako standard w Java 8 wraz z interfejsami funkcyjnymi;Konstruktor to metoda finalizująca cykl życia obiektu bezpośrednio przed jego usunięciem i zwolnieniem pamięci przez garbage collector;1
Czym jest konstruktor domyślny?;Konstruktor domyślny to specjalny konstruktor który automatycznie zwraca domyślne wartości dla wszystkich pól klasy (null, 0, false);Konstruktor domyślny to zawsze ten konstruktor który został zdefiniowany jako pierwszy w kodzie źródłowym klasy Java;Konstruktor domyślny istnieje wyłącznie w klasach abstrakcyjnych i interfejsach jako część ich specyfikacji zgodnie z JLS;Konstruktor domyślny to konstruktor bez parametrów. Jeśli nie zdefiniujesz żadnego, kompilator automatycznie tworzy domyślny;3
Jak wywołać inny konstruktor w tej samej klasie?;Używając składni new this() do tworzenia nowej instancji. Przykład: new this(arg1, arg2); jako ostatnia instrukcja konstruktora;Używając this(). Przykład: this(arg1, arg2); Musi być pierwszą instrukcją w konstruktorze;Używając specjalnej składni super.this(args) dla wywołania poprzedniego konstruktora w łańcuchu delegation constructors;Nie istnieje możliwość techniczna wywoływania innego konstruktora, każdy konstruktor jest kompletnie niezależny i izolowany;1
Jak zdefiniować pola w klasie?;Używając słowa kluczowego var dla każdego pola. Przykład: var age; var name; dla automatycznej dedukcji typu przez kompilator;Przykład: private int age; public String name; Pola mogą mieć modyfikatory dostępu;Używając słowa kluczowego field przed typem. Przykład: field int age; field String name; zgodnie z Java syntax specification;Wszystkie pola w klasie muszą być publiczne według standardu: public int age; public String name; dla zapewnienia enkapsulacji;1
Jak zdefiniować stałe w klasie?;Używając static final. Przykład: public static final double PI = 3.14;;Używając słowa kluczowego const wprowadzonego w Java 8. Przykład: public const double PI = 3.14; podobnie jak w C++;Używając wyłącznie modyfikatora final. Przykład: final double PI = 3.14; bez użycia static dla każdej instancji;Używając specjalnego słowa kluczowego immutable. Przykład: immutable double PI = 3.14; dla thread-safe constants;0
Czym jest słowo kluczowe final i jakie są przypadki jego użycia?;Słowo kluczowe final oznacza że metoda jest ostateczną stabilną wersją API i nie może być w przyszłości oznaczona jako deprecated;Modyfikator final może być używany wyłącznie na polach klasy, nie istnieje możliwość użycia go na metodach ani deklaracjach klas;final na klasie: nie może być rozszerzana. final na metodzie: nie może być nadpisywana. final na polu: nie może być zmienione po inicjalizacji;Słowo final oznacza że obiekty tej klasy są finalizowane przez garbage collector z najwyższym priorytetem jako pierwsze;2
